파일명,매칭결과,매칭된_노션출처,변환된키(디버깅용)
2004년(2005학년도) 경찰대학 고3공통 7월 22.md,성공,2004년(2005학년도) 경찰대학 고3공통 7월 22,2004년경찰대학고3공통7월22
2004년(2005학년도) 경찰대학 고3공통 7월 23.md,성공,2004년(2005학년도) 경찰대학 고3공통 7월 23,2004년경찰대학고3공통7월23
2004년(2005학년도) 경찰대학 고3공통 7월 24.md,성공,2004년(2005학년도) 경찰대학 고3공통 7월 24,2004년경찰대학고3공통7월24
2004년(2005학년도) 경찰대학 고3공통 7월 25.md,성공,2004년(2005학년도) 경찰대학 고3공통 7월 25,2004년경찰대학고3공통7월25
2004년(2005학년도) 경찰대학 고3공통 7월 3.md,성공,2004년(2005학년도) 경찰대학 고3공통 7월 3,2004년경찰대학고3공통7월3
2004년(2005학년도) 경찰대학 고3공통 7월 4.md,성공,2004년(2005학년도) 경찰대학 고3공통 7월 4,2004년경찰대학고3공통7월4
2004년(2005학년도) 경찰대학 고3공통 7월 5.md,성공,2004년(2005학년도) 경찰대학 고3공통 7월 5,2004년경찰대학고3공통7월5
2004년(2005학년도) 경찰대학 고3공통 7월 6.md,성공,2004년(2005학년도) 경찰대학 고3공통 7월 6,2004년경찰대학고3공통7월6
2004년(2005학년도) 경찰대학 고3공통 7월 7.md,성공,2004년(2005학년도) 경찰대학 고3공통 7월 7,2004년경찰대학고3공통7월7
2004년(2005학년도) 경찰대학 고3공통 7월 8.md,성공,2004년(2005학년도) 경찰대학 고3공통 7월 8,2004년경찰대학고3공통7월8
2004년(2005학년도) 경찰대학 고3공통 7월 9.md,성공,2004년(2005학년도) 경찰대학 고3공통 7월 9,2004년경찰대학고3공통7월9
2004년(2005학년도) 사관학교 고3문과 7월 1 [2.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 1 [2.00점],2004년사관학교고3문과7월1
2004년(2005학년도) 사관학교 고3문과 7월 10 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 10 [3.00점],2004년사관학교고3문과7월10
2004년(2005학년도) 사관학교 고3문과 7월 11 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 11 [3.00점],2004년사관학교고3문과7월11
2004년(2005학년도) 사관학교 고3문과 7월 12 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 12 [3.00점],2004년사관학교고3문과7월12
2004년(2005학년도) 사관학교 고3문과 7월 13 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 13 [4.00점],2004년사관학교고3문과7월13
2004년(2005학년도) 사관학교 고3문과 7월 14 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 14 [3.00점],2004년사관학교고3문과7월14
2004년(2005학년도) 사관학교 고3문과 7월 15 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 15 [4.00점],2004년사관학교고3문과7월15
2004년(2005학년도) 사관학교 고3문과 7월 16 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 16 [3.00점],2004년사관학교고3문과7월16
2004년(2005학년도) 사관학교 고3문과 7월 17 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 17 [3.00점],2004년사관학교고3문과7월17
2004년(2005학년도) 사관학교 고3문과 7월 18 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 18 [4.00점],2004년사관학교고3문과7월18
2004년(2005학년도) 사관학교 고3문과 7월 19 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 19 [4.00점],2004년사관학교고3문과7월19
2004년(2005학년도) 사관학교 고3문과 7월 2 [2.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 2 [2.00점],2004년사관학교고3문과7월2
2004년(2005학년도) 사관학교 고3문과 7월 20 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 20 [3.00점],2004년사관학교고3문과7월20
2004년(2005학년도) 사관학교 고3문과 7월 21 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 21 [4.00점],2004년사관학교고3문과7월21
2004년(2005학년도) 사관학교 고3문과 7월 22 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 22 [4.00점],2004년사관학교고3문과7월22
2004년(2005학년도) 사관학교 고3문과 7월 23 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 23 [4.00점],2004년사관학교고3문과7월23
2004년(2005학년도) 사관학교 고3문과 7월 24 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 24 [4.00점],2004년사관학교고3문과7월24
2004년(2005학년도) 사관학교 고3문과 7월 25 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 25 [3.00점],2004년사관학교고3문과7월25
2004년(2005학년도) 사관학교 고3문과 7월 26 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 26 [4.00점],2004년사관학교고3문과7월26
2004년(2005학년도) 사관학교 고3문과 7월 27 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 27 [4.00점],2004년사관학교고3문과7월27
2004년(2005학년도) 사관학교 고3문과 7월 28 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 28 [3.00점],2004년사관학교고3문과7월28
2004년(2005학년도) 사관학교 고3문과 7월 29 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 29 [4.00점],2004년사관학교고3문과7월29
2004년(2005학년도) 사관학교 고3문과 7월 3 [2.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 3 [2.00점],2004년사관학교고3문과7월3
2004년(2005학년도) 사관학교 고3문과 7월 30 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 30 [4.00점],2004년사관학교고3문과7월30
2004년(2005학년도) 사관학교 고3문과 7월 4 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 4 [3.00점],2004년사관학교고3문과7월4
2004년(2005학년도) 사관학교 고3문과 7월 5 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 5 [3.00점],2004년사관학교고3문과7월5
2004년(2005학년도) 사관학교 고3문과 7월 6 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 6 [3.00점],2004년사관학교고3문과7월6
2004년(2005학년도) 사관학교 고3문과 7월 7 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 7 [3.00점],2004년사관학교고3문과7월7
2004년(2005학년도) 사관학교 고3문과 7월 8 [3.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 8 [3.00점],2004년사관학교고3문과7월8
2004년(2005학년도) 사관학교 고3문과 7월 9 [4.00점] 이과.md,성공,2004년(2005학년도) 사관학교 고3문과 7월 9 [4.00점],2004년사관학교고3문과7월9
2004년(2005학년도) 사관학교 고3이과 7월 1 [2.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 1 [2.00점],2004년사관학교고3이과7월1
2004년(2005학년도) 사관학교 고3이과 7월 10 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 10 [3.00점],2004년사관학교고3이과7월10
2004년(2005학년도) 사관학교 고3이과 7월 11 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 11 [3.00점],2004년사관학교고3이과7월11
2004년(2005학년도) 사관학교 고3이과 7월 12 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 12 [3.00점],2004년사관학교고3이과7월12
2004년(2005학년도) 사관학교 고3이과 7월 13 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 13 [4.00점],2004년사관학교고3이과7월13
2004년(2005학년도) 사관학교 고3이과 7월 14 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 14 [3.00점],2004년사관학교고3이과7월14
2004년(2005학년도) 사관학교 고3이과 7월 15 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 15 [4.00점],2004년사관학교고3이과7월15
2004년(2005학년도) 사관학교 고3이과 7월 16 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 16 [3.00점],2004년사관학교고3이과7월16
2004년(2005학년도) 사관학교 고3이과 7월 17 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 17 [3.00점],2004년사관학교고3이과7월17
2004년(2005학년도) 사관학교 고3이과 7월 18 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 18 [4.00점],2004년사관학교고3이과7월18
2004년(2005학년도) 사관학교 고3이과 7월 19 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 19 [4.00점],2004년사관학교고3이과7월19
2004년(2005학년도) 사관학교 고3이과 7월 2 [2.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 2 [2.00점],2004년사관학교고3이과7월2
2004년(2005학년도) 사관학교 고3이과 7월 20 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 20 [3.00점],2004년사관학교고3이과7월20
2004년(2005학년도) 사관학교 고3이과 7월 21 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 21 [4.00점],2004년사관학교고3이과7월21
2004년(2005학년도) 사관학교 고3이과 7월 22 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 22 [4.00점],2004년사관학교고3이과7월22
2004년(2005학년도) 사관학교 고3이과 7월 23 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 23 [4.00점],2004년사관학교고3이과7월23
2004년(2005학년도) 사관학교 고3이과 7월 24 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 24 [4.00점],2004년사관학교고3이과7월24
2004년(2005학년도) 사관학교 고3이과 7월 25 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 25 [3.00점],2004년사관학교고3이과7월25
2004년(2005학년도) 사관학교 고3이과 7월 26 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 26 [4.00점],2004년사관학교고3이과7월26
2004년(2005학년도) 사관학교 고3이과 7월 27 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 27 [4.00점],2004년사관학교고3이과7월27
2004년(2005학년도) 사관학교 고3이과 7월 28 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 28 [3.00점],2004년사관학교고3이과7월28
2004년(2005학년도) 사관학교 고3이과 7월 29 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 29 [4.00점],2004년사관학교고3이과7월29
2004년(2005학년도) 사관학교 고3이과 7월 3 [2.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 3 [2.00점],2004년사관학교고3이과7월3
2004년(2005학년도) 사관학교 고3이과 7월 30 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 30 [4.00점],2004년사관학교고3이과7월30
2004년(2005학년도) 사관학교 고3이과 7월 4 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 4 [3.00점],2004년사관학교고3이과7월4
2004년(2005학년도) 사관학교 고3이과 7월 5 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 5 [3.00점],2004년사관학교고3이과7월5
2004년(2005학년도) 사관학교 고3이과 7월 6 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 6 [3.00점],2004년사관학교고3이과7월6
2004년(2005학년도) 사관학교 고3이과 7월 7 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 7 [3.00점],2004년사관학교고3이과7월7
2004년(2005학년도) 사관학교 고3이과 7월 8 [3.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 8 [3.00점],2004년사관학교고3이과7월8
2004년(2005학년도) 사관학교 고3이과 7월 9 [4.00점] 문과.md,성공,2004년(2005학년도) 사관학교 고3이과 7월 9 [4.00점],2004년사관학교고3이과7월9
2004년(2005학년도) 평가원 고3문과 11월 1.md,성공,2004년(2005학년도) 평가원 고3문과 11월 1,2004년평가원고3문과11월1
2004년(2005학년도) 평가원 고3문과 11월 10 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 10 [4.00점],2004년평가원고3문과11월10
2004년(2005학년도) 평가원 고3문과 11월 13 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 13 [3.00점],2004년평가원고3문과11월13
2004년(2005학년도) 평가원 고3문과 11월 15 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 15 [4.00점],2004년평가원고3문과11월15
2004년(2005학년도) 평가원 고3문과 11월 18 [3.00점] 문과.md,성공,2004년(2005학년도) 평가원 고3문과 11월 18 [3.00점],2004년평가원고3문과11월18
2004년(2005학년도) 평가원 고3문과 11월 18 [3.00점] 이과.md,성공,2004년(2005학년도) 평가원 고3문과 11월 18 [3.00점],2004년평가원고3문과11월18
2004년(2005학년도) 평가원 고3문과 11월 19 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 19 [3.00점],2004년평가원고3문과11월19
2004년(2005학년도) 평가원 고3문과 11월 2 [2.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 2 [2.00점],2004년평가원고3문과11월2
2004년(2005학년도) 평가원 고3문과 11월 20 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 20 [3.00점],2004년평가원고3문과11월20
2004년(2005학년도) 평가원 고3문과 11월 21 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 21 [3.00점],2004년평가원고3문과11월21
2004년(2005학년도) 평가원 고3문과 11월 22 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 22 [4.00점],2004년평가원고3문과11월22
2004년(2005학년도) 평가원 고3문과 11월 24 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 24 [4.00점],2004년평가원고3문과11월24
2004년(2005학년도) 평가원 고3문과 11월 26 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 26 [3.00점],2004년평가원고3문과11월26
2004년(2005학년도) 평가원 고3문과 11월 27 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 27 [4.00점],2004년평가원고3문과11월27
2004년(2005학년도) 평가원 고3문과 11월 28 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 28 [4.00점],2004년평가원고3문과11월28
2004년(2005학년도) 평가원 고3문과 11월 29 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 29 [4.00점],2004년평가원고3문과11월29
2004년(2005학년도) 평가원 고3문과 11월 3 [2.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 3 [2.00점],2004년평가원고3문과11월3
2004년(2005학년도) 평가원 고3문과 11월 30 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 30 [4.00점],2004년평가원고3문과11월30
2004년(2005학년도) 평가원 고3문과 11월 4 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 4 [3.00점],2004년평가원고3문과11월4
2004년(2005학년도) 평가원 고3문과 11월 6 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 6 [3.00점],2004년평가원고3문과11월6
2004년(2005학년도) 평가원 고3문과 11월 7 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 7 [3.00점],2004년평가원고3문과11월7
2004년(2005학년도) 평가원 고3문과 11월 8 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 11월 8 [3.00점],2004년평가원고3문과11월8
2004년(2005학년도) 평가원 고3문과 11월 공통범위 11 [4.00점] 이과.md,실패,,2004년평가원고3문과11월공통범위11
2004년(2005학년도) 평가원 고3문과 11월 공통범위 12 [3.00점] 이과.md,실패,,2004년평가원고3문과11월공통범위12
2004년(2005학년도) 평가원 고3문과 11월 공통범위 14 [4.00점] 이과.md,실패,,2004년평가원고3문과11월공통범위14
2004년(2005학년도) 평가원 고3문과 11월 공통범위 16 [3.00점] 이과.md,실패,,2004년평가원고3문과11월공통범위16
2004년(2005학년도) 평가원 고3문과 11월 공통범위 17 [4.00점] 이과.md,실패,,2004년평가원고3문과11월공통범위17
2004년(2005학년도) 평가원 고3문과 11월 공통범위 23 [4.00점] 이과.md,실패,,2004년평가원고3문과11월공통범위23
2004년(2005학년도) 평가원 고3문과 11월 공통범위 25 [4.00점] 이과.md,실패,,2004년평가원고3문과11월공통범위25
2004년(2005학년도) 평가원 고3문과 11월 공통범위 5 [3.00점] 이과.md,실패,,2004년평가원고3문과11월공통범위5
2004년(2005학년도) 평가원 고3문과 11월 공통범위 9 [3.00점] 이과.md,실패,,2004년평가원고3문과11월공통범위9
2004년(2005학년도) 평가원 고3문과 6월 10 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 10 [3.00점],2004년평가원고3문과6월10
2004년(2005학년도) 평가원 고3문과 6월 11 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 11 [4.00점],2004년평가원고3문과6월11
2004년(2005학년도) 평가원 고3문과 6월 14 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 14 [4.00점],2004년평가원고3문과6월14
2004년(2005학년도) 평가원 고3문과 6월 15 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 15 [4.00점],2004년평가원고3문과6월15
2004년(2005학년도) 평가원 고3문과 6월 17 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 17 [4.00점],2004년평가원고3문과6월17
2004년(2005학년도) 평가원 고3문과 6월 18 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 18 [3.00점],2004년평가원고3문과6월18
2004년(2005학년도) 평가원 고3문과 6월 19 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 19 [3.00점],2004년평가원고3문과6월19
2004년(2005학년도) 평가원 고3문과 6월 2 [2.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 2 [2.00점],2004년평가원고3문과6월2
2004년(2005학년도) 평가원 고3문과 6월 20 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 20 [3.00점],2004년평가원고3문과6월20
2004년(2005학년도) 평가원 고3문과 6월 21 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 21 [3.00점],2004년평가원고3문과6월21
2004년(2005학년도) 평가원 고3문과 6월 22 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 22 [4.00점],2004년평가원고3문과6월22
2004년(2005학년도) 평가원 고3문과 6월 26 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 26 [3.00점],2004년평가원고3문과6월26
2004년(2005학년도) 평가원 고3문과 6월 27 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 27 [3.00점],2004년평가원고3문과6월27
2004년(2005학년도) 평가원 고3문과 6월 28 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 28 [4.00점],2004년평가원고3문과6월28
2004년(2005학년도) 평가원 고3문과 6월 29 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 29 [4.00점],2004년평가원고3문과6월29
2004년(2005학년도) 평가원 고3문과 6월 30 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 30 [4.00점],2004년평가원고3문과6월30
2004년(2005학년도) 평가원 고3문과 6월 4 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 4 [3.00점],2004년평가원고3문과6월4
2004년(2005학년도) 평가원 고3문과 6월 5 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 5 [3.00점],2004년평가원고3문과6월5
2004년(2005학년도) 평가원 고3문과 6월 6 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 6 [3.00점],2004년평가원고3문과6월6
2004년(2005학년도) 평가원 고3문과 6월 8 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 8 [3.00점],2004년평가원고3문과6월8
2004년(2005학년도) 평가원 고3문과 6월 9 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 6월 9 [3.00점],2004년평가원고3문과6월9
2004년(2005학년도) 평가원 고3문과 6월 공통범위 1 [2.00점] 이과.md,실패,,2004년평가원고3문과6월공통범위1
2004년(2005학년도) 평가원 고3문과 6월 공통범위 12 [4.00점] 이과.md,실패,,2004년평가원고3문과6월공통범위12
2004년(2005학년도) 평가원 고3문과 6월 공통범위 13 [4.00점] 이과.md,실패,,2004년평가원고3문과6월공통범위13
2004년(2005학년도) 평가원 고3문과 6월 공통범위 16 [4.00점] 이과.md,실패,,2004년평가원고3문과6월공통범위16
2004년(2005학년도) 평가원 고3문과 6월 공통범위 23 [3.00점] 이과.md,실패,,2004년평가원고3문과6월공통범위23
2004년(2005학년도) 평가원 고3문과 6월 공통범위 24 [4.00점] 이과.md,실패,,2004년평가원고3문과6월공통범위24
2004년(2005학년도) 평가원 고3문과 6월 공통범위 25 [4.00점] 이과.md,실패,,2004년평가원고3문과6월공통범위25
2004년(2005학년도) 평가원 고3문과 6월 공통범위 3 [2.00점] 이과.md,실패,,2004년평가원고3문과6월공통범위3
2004년(2005학년도) 평가원 고3문과 6월 공통범위 7 [3.00점] 이과.md,실패,,2004년평가원고3문과6월공통범위7
2004년(2005학년도) 평가원 고3문과 9월 10 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 10 [4.00점],2004년평가원고3문과9월10
2004년(2005학년도) 평가원 고3문과 9월 12 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 12 [3.00점],2004년평가원고3문과9월12
2004년(2005학년도) 평가원 고3문과 9월 15 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 15 [3.00점],2004년평가원고3문과9월15
2004년(2005학년도) 평가원 고3문과 9월 16 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 16 [4.00점],2004년평가원고3문과9월16
2004년(2005학년도) 평가원 고3문과 9월 17 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 17 [4.00점],2004년평가원고3문과9월17
2004년(2005학년도) 평가원 고3문과 9월 18 [2.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 18 [2.00점],2004년평가원고3문과9월18
2004년(2005학년도) 평가원 고3문과 9월 22 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 22 [4.00점],2004년평가원고3문과9월22
2004년(2005학년도) 평가원 고3문과 9월 23 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 23 [4.00점],2004년평가원고3문과9월23
2004년(2005학년도) 평가원 고3문과 9월 26 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 26 [3.00점],2004년평가원고3문과9월26
2004년(2005학년도) 평가원 고3문과 9월 27 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 27 [4.00점],2004년평가원고3문과9월27
2004년(2005학년도) 평가원 고3문과 9월 28 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 28 [4.00점],2004년평가원고3문과9월28
2004년(2005학년도) 평가원 고3문과 9월 29 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 29 [4.00점],2004년평가원고3문과9월29
2004년(2005학년도) 평가원 고3문과 9월 3 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 3 [3.00점],2004년평가원고3문과9월3
2004년(2005학년도) 평가원 고3문과 9월 30 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 30 [3.00점],2004년평가원고3문과9월30
2004년(2005학년도) 평가원 고3문과 9월 4 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 4 [3.00점],2004년평가원고3문과9월4
2004년(2005학년도) 평가원 고3문과 9월 5 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 5 [3.00점],2004년평가원고3문과9월5
2004년(2005학년도) 평가원 고3문과 9월 6 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 6 [3.00점],2004년평가원고3문과9월6
2004년(2005학년도) 평가원 고3문과 9월 8 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 8 [4.00점],2004년평가원고3문과9월8
2004년(2005학년도) 평가원 고3문과 9월 9 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 9월 9 [4.00점],2004년평가원고3문과9월9
2004년(2005학년도) 평가원 고3문과 9월 공통범위 1 [2.00점] 이과.md,실패,,2004년평가원고3문과9월공통범위1
2004년(2005학년도) 평가원 고3문과 9월 공통범위 11 [3.00점] 이과.md,실패,,2004년평가원고3문과9월공통범위11
2004년(2005학년도) 평가원 고3문과 9월 공통범위 13 [4.00점] 이과.md,실패,,2004년평가원고3문과9월공통범위13
2004년(2005학년도) 평가원 고3문과 9월 공통범위 14 [3.00점] 이과.md,실패,,2004년평가원고3문과9월공통범위14
2004년(2005학년도) 평가원 고3문과 9월 공통범위 19 [3.00점] 이과.md,실패,,2004년평가원고3문과9월공통범위19
2004년(2005학년도) 평가원 고3문과 9월 공통범위 2 [2.00점] 이과.md,실패,,2004년평가원고3문과9월공통범위2
2004년(2005학년도) 평가원 고3문과 9월 공통범위 20 [4.00점] 이과.md,실패,,2004년평가원고3문과9월공통범위20
2004년(2005학년도) 평가원 고3문과 9월 공통범위 21 [3.00점] 이과.md,실패,,2004년평가원고3문과9월공통범위21
2004년(2005학년도) 평가원 고3문과 9월 공통범위 24 [3.00점] 이과.md,실패,,2004년평가원고3문과9월공통범위24
2004년(2005학년도) 평가원 고3문과 9월 공통범위 25 [4.00점] 이과.md,실패,,2004년평가원고3문과9월공통범위25
2004년(2005학년도) 평가원 고3문과 9월 공통범위 7 [3.00점] 이과.md,실패,,2004년평가원고3문과9월공통범위7
2004년(2005학년도) 평가원 고3문과 예시 문항 10 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 예시 문항 10 [4.00점],2004년평가원고3문과예시문항10
2004년(2005학년도) 평가원 고3문과 예시 문항 11 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 예시 문항 11 [4.00점],2004년평가원고3문과예시문항11
2004년(2005학년도) 평가원 고3문과 예시 문항 14 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 예시 문항 14 [3.00점],2004년평가원고3문과예시문항14
2004년(2005학년도) 평가원 고3문과 예시 문항 15 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 예시 문항 15 [3.00점],2004년평가원고3문과예시문항15
2004년(2005학년도) 평가원 고3문과 예시 문항 19 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 예시 문항 19 [3.00점],2004년평가원고3문과예시문항19
2004년(2005학년도) 평가원 고3문과 예시 문항 20 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 예시 문항 20 [3.00점],2004년평가원고3문과예시문항20
2004년(2005학년도) 평가원 고3문과 예시 문항 23 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 예시 문항 23 [4.00점],2004년평가원고3문과예시문항23
2004년(2005학년도) 평가원 고3문과 예시 문항 24 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 예시 문항 24 [4.00점],2004년평가원고3문과예시문항24
2004년(2005학년도) 평가원 고3문과 예시 문항 26 [3.00점].md,성공,2004년(2005학년도) 평가원 고3문과 예시 문항 26 [3.00점],2004년평가원고3문과예시문항26
2004년(2005학년도) 평가원 고3문과 예시 문항 27 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 예시 문항 27 [4.00점],2004년평가원고3문과예시문항27
2004년(2005학년도) 평가원 고3문과 예시 문항 28 [4.00점].md,성공,2004년(2005학년도) 평가원 고3문과 예시 문항 28 [4.00점],2004년평가원고3문과예시문항28
